Station Name,Grid Coordinates,Coordinates
BOX,"[26, 36]","[[[-72.556015, 41.6771717], [-72.556015, 41.6556301], [-72.5271911, 41.6556301], [-72.5271911, 41.6771717], [-72.556015, 41.6771717]]]"
BOX,"[30, 36]","[[[-72.440731, 41.6627235], [-72.440731, 41.6411933], [-72.4119148, 41.6411933], [-72.4119148, 41.6627235], [-72.440731, 41.6627235]]]"
BOX,"[34, 37]","[[[-72.3206176, 41.6697463], [-72.3206176, 41.6482162], [-72.291809, 41.6482162], [-72.291809, 41.6697463], [-72.3206176, 41.6697463]]]"
BOX,"[46, 39]","[[[-71.9651222, 41.6687984], [-71.9651222, 41.6472797], [-71.9363212, 41.6472797], [-71.9363212, 41.6687984], [-71.9651222, 41.6687984]]]"
BOX,"[55, 41]","[[[-71.6960029, 41.6783885], [-71.6960029, 41.656869799999996], [-71.6672019, 41.656869799999996], [-71.6672019, 41.6783885], [-71.6960029, 41.6783885]]]"
BOX,"[56, 41]","[[[-71.6672096, 41.6746463], [-71.6672096, 41.6531352], [-71.6384239, 41.6531352], [-71.6384239, 41.6746463], [-71.6672096, 41.6746463]]]"
BOX,"[58, 41]","[[[-71.6096305, 41.6671466], [-71.6096305, 41.645635600000006], [-71.5808448, 41.645635600000006], [-71.5808448, 41.6671466], [-71.6096305, 41.6671466]]]"
BOX,"[62, 42]","[[[-71.4894599, 41.6736106], [-71.4894599, 41.652111000000005], [-71.4606742, 41.652111000000005], [-71.4606742, 41.6736106], [-71.4894599, 41.6736106]]]"
BOX,"[63, 42]","[[[-71.4606742, 41.6698417], [-71.4606742, 41.6483345], [-71.4318885, 41.6483345], [-71.4318885, 41.6698417], [-71.4606742, 41.6698417]]]"
BOX,"[64, 42]","[[[-71.4318923, 41.6660747], [-71.4318923, 41.644563600000005], [-71.4031143, 41.644563600000005], [-71.4031143, 41.6660747], [-71.4318923, 41.6660747]]]"
BOX,"[65, 42]","[[[-71.4031181, 41.6622924], [-71.4031181, 41.640785199999996], [-71.37434760000001, 41.640785199999996], [-71.37434760000001, 41.6622924], [-71.4031181, 41.6622924]]]"
BOX,"[67, 43]","[[[-71.3404884, 41.6762084], [-71.3404884, 41.6547088], [-71.3117179, 41.6547088], [-71.3117179, 41.6762084], [-71.3404884, 41.6762084]]]"
BOX,"[71, 43]","[[[-71.2253837, 41.6609992], [-71.2253837, 41.6394996], [-71.1966133, 41.6394996], [-71.1966133, 41.6609992], [-71.2253837, 41.6609992]]]"
BOX,"[72, 44]","[[[-71.1915016, 41.6786804], [-71.1915016, 41.6571807], [-71.1627311, 41.6571807], [-71.1627311, 41.6786804], [-71.1915016, 41.6786804]]]"
BOX,"[73, 44]","[[[-71.1627349, 41.6748695], [-71.1627349, 41.6533699], [-71.13397210000001, 41.6533699], [-71.13397210000001, 41.6748695], [-71.1627349, 41.6748695]]]"
BOX,"[76, 44]","[[[-71.0764274, 41.6633796], [-71.0764274, 41.64188], [-71.047657, 41.64188], [-71.047657, 41.6633796], [-71.0764274, 41.6633796]]]"
BOX,"[83, 46]","[[[-70.8647613, 41.6793975], [-70.8647613, 41.6579055], [-70.8359985, 41.6579055], [-70.8359985, 41.6793975], [-70.8647613, 41.6793975]]]"
BOX,"[84, 46]","[[[-70.8359985, 41.6755237], [-70.8359985, 41.6540355], [-70.8072357, 41.6540355], [-70.8072357, 41.6755237], [-70.8359985, 41.6755237]]]"
BOX,"[88, 46]","[[[-70.7209739, 41.6599903], [-70.7209739, 41.6385097], [-70.6922187, 41.6385097], [-70.6922187, 41.6599903], [-70.7209739, 41.6599903]]]"
BOX,"[92, 47]","[[[-70.6007614, 41.6658668], [-70.6007614, 41.6443901], [-70.57199849999999, 41.6443901], [-70.57199849999999, 41.6658668], [-70.6007614, 41.6658668]]]"
BOX,"[96, 48]","[[[-70.4805259, 41.6716709], [-70.4805259, 41.650190300000006], [-70.4517707, 41.650190300000006], [-70.4517707, 41.6716709], [-70.4805259, 41.6716709]]]"
BOX,"[97, 48]","[[[-70.4517784, 41.6677246], [-70.4517784, 41.6462554], [-70.4230384, 41.6462554], [-70.4230384, 41.6677246], [-70.4517784, 41.6677246]]]"
BOX,"[98, 48]","[[[-70.4230384, 41.6638011], [-70.4230384, 41.6423206], [-70.39429849999999, 41.6423206], [-70.39429849999999, 41.6638011], [-70.4230384, 41.6638011]]]"
